Nombre,Nacionalidad,Club
Julian Alvarez,Argentina,Atletico Madrid
Antoine Griezmann,Francia,Barcelona
Antoine Griezmann,Francia,Atletico Madrid
Dibu Martinez,Argentina,Arsenal
Dibu Martinez,Argentina,Aston Villa
Bremer,Brasil,Juventus
Pierre Kalulu,Francia,AC Milan
Pierre Kalulu,Francia,Juventus
Daniel Munoz,Colombia,Nacional
Daniel Munoz,Colombia,Crystal Palace
Brennan Jhonson,Gales,Tottenham
Brennan Jhonson,Gales,Crystal Palace
Jobe Bellingham,Inglaterra,Borussia Dortmund
Luka Modric,Croacia,Tottenham
Luka Modric,Croacia,Real Madrid
Luka Modric,Croacia,AC Milan
Rafael Leao,Portugal,Sporting
Rafael Leao,Portugal,Lille
Rafael Leao,Portugal,AC Milan
Christian Pulisic,Estados Unidos,Borussia Dortmund
Christian Pulisic,Estados Unidos,Chelsea
Christian Pulisic,Estados Unidos,AC Milan
Maxi Araujo,Uruguay,Sporting
Luis Suarez,Colombia,Marsella
Luis Suarez,Colombia,Sporting
Paulo Dybala,Argentina,Juventus
Paulo Dybala,Argentina,Roma
Wesley,Brasil,Flamengo
Wesley,Brasil,Roma
Diogo Costa,Portugal,Porto
Thiago Silva,Brasil,Porto
Thiago Silva,Brasil,Fluminense
Thiago Silva,Brasil,AC Milan
Thiago Silva,Brasil,PSG
Thiago Silva,Brasil,Chelsea
Mathias Olivera,Uruguay,Napoli
Kevin De Bruyne,Belgica,Manchester City
Kevin De Bruyne,Belgica,Napoli
Romelu Lukaku,Belgica,Manchester United
Romelu Lukaku,Belgica,Chelsea
Romelu Lukaku,Belgica,Manchester United
Romelu Lukaku,Belgica,Inter
Romelu Lukaku,Belgica,Roma
Romelu Lukaku,Belgica,Napoli
Benjamin Pavard,Francia,Lille
Benjamin Pavard,Francia,Inter
Benjamin Pavard,Francia,Bayern Munich
Benjamin Pavard,Francia,Marsella
Timothy Weah,Estados Unidos,PSG
Timothy Weah,Estados Unidos,Lille
Timothy Weah,Estados Unidos,Juventus
Timothy Weah,Estados Unidos,Marsella
Davinson Sanchez,Colombia,Nacional
Davinson Sanchez,Colombia,Ajax
Davinson Sanchez,Colombia,Tottenham
Davinson Sanchez,Colombia,Galatasaray
Victor Osimhen,Nigeria,Lille
Victor Osimhen,Nigeria,Napoli
Victor Osimhen,Nigeria,Galatasaray
Nicolas Tagliafico,Argentina,Independiente
Nicolas Tagliafico,Argentina,Ajax
Nicolas Tagliafico,Argentina,Lyon
Alfonso Moreira,Portugal,Sporting
Alfonso Moreira,Portugal,Lyon
Endrick,Brasil,Palmeiras
Endrick,Brasil,Real Madrid
Endrick,Brasil,Lyon
Oliver Giroud,Francia,Arsenal
Oliver Giroud,Francia,Chelsea
Oliver Giroud,Francia,AC Milan
Oliver Giroud,Francia,Lille
Nicolas Otamendi,Argentina,Porto
